animal_id,outcome_time,date_of_birth,outcome_gender,outcome_age,animal_stay,intake_time,found_location,intake_type,intake_condition,animal_type,intake_gender,intake_age,breed,color,stay_duration,spay_neuter,repeat
A740440,2017-02-26,2014-12-17,Neutered Male,24.0,A740440-1,2016-12-17,Sherwood Rd & Wynne in Austin (TX),Stray,Normal,Dog,Intact Male,24.0,Pit Bull Mix,Fawn,71,1,1
A740442,2016-12-26,2008-12-26,Neutered Male,96.0,A740442-1,2016-12-17,8200 N Mopac in Austin (TX),Public Assist,Injured,Dog,Neutered Male,84.0,German Shepherd Mix,Black/Brown,9,0,1
A740442,2017-01-11,2008-12-26,Neutered Male,96.0,A740442-2,2016-12-30,1000 Exposition in Austin (TX),Public Assist,Normal,Dog,Neutered Male,96.0,German Shepherd Mix,Black/Brown,12,0,1
A740458,2016-12-29,2010-10-20,Spayed Female,72.0,A740458-1,2016-12-20,3305 Santa Fe in Austin (TX),Public Assist,Normal,Dog,Intact Female,72.0,Pit Bull,Blue/White,9,1,1
A740458,2017-11-21,2010-10-20,Spayed Female,84.0,A740458-2,2017-01-15,3401 Santa Fe Dr in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,72.0,Pit Bull,Blue/White,310,0,1
A740458,2018-08-03,2010-10-20,Spayed Female,84.0,A740458-3,2017-11-10,Austin (TX),Public Assist,Normal,Dog,Spayed Female,84.0,Pit Bull,Blue/White,266,0,1
A740471,2016-12-23,2016-03-17,Intact Female,9.0,A740471-1,2016-12-17,Alameda Dr And E Riverside Dr in Austin (TX),Stray,Normal,Dog,Intact Female,9.0,Labrador Retriever Mix,Tan/White,6,0,1
A740471,2017-03-18,2016-03-17,Spayed Female,12.0,A740471-2,2017-03-13,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,11.0,Labrador Retriever Mix,Tan/White,5,0,1
A740504,2016-12-19,2015-12-18,Spayed Female,12.0,A740504-1,2016-12-18,4504 Sojourner St in Austin (TX),Stray,Normal,Cat,Intact Female,12.0,Domestic Shorthair Mix,Torbie,1,1,1
A740516,2016-12-24,2015-12-18,Spayed Female,12.0,A740516-1,2016-12-18,Chukar Cir And Thornridge Rd in Austin (TX),Stray,Normal,Dog,Spayed Female,12.0,Chihuahua Shorthair Mix,Tan,6,0,1
A740516,2017-01-15,2015-12-18,Spayed Female,12.0,A740516-2,2017-01-09,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,12.0,Chihuahua Shorthair Mix,Tan,6,0,1
A740543,2016-12-20,2016-08-04,Intact Male,4.0,A740543-1,2016-12-19,9327 Evening Shadow in Del Valle (TX),Stray,Normal,Dog,Intact Male,4.0,Mastiff Mix,Brown Brindle/White,1,0,1
A740543,2017-01-11,2016-08-04,Intact Male,5.0,A740543-2,2017-01-09,Evening Shadow in Del Valle (TX),Stray,Normal,Dog,Intact Male,5.0,Mastiff Mix,Brown Brindle/White,2,0,1
A740562,2016-12-20,2011-12-19,Spayed Female,60.0,A740562-1,2016-12-19,9120 Northgate Blvd in Austin (TX),Stray,Normal,Cat,Spayed Female,60.0,Domestic Shorthair Mix,Black,1,0,1
A740583,2016-12-20,2014-06-19,Intact Male,24.0,A740583-1,2016-12-19,18004 Canopy Ln in Manor (TX),Stray,Normal,Dog,Intact Male,24.0,Rottweiler,Black/Tan,1,0,1
A740588,2016-12-26,2016-02-19,Neutered Male,10.0,A740588-1,2016-12-19,1555 Bastrop Hwy in Austin (TX),Stray,Normal,Dog,Intact Male,9.0,Labrador Retriever Mix,Chocolate/Tan,7,1,1
A740628,2017-01-23,2016-11-13,Spayed Female,2.0,A740628-1,2016-12-20,Alameda Trace Cir in Austin (TX),Stray,Normal,Cat,Intact Female,1.0,Domestic Shorthair Mix,White,34,1,1
A740631,2016-12-31,2011-12-20,Spayed Female,60.0,A740631-1,2016-12-22,6806 Santos St in Austin (TX),Public Assist,Normal,Dog,Spayed Female,60.0,Dachshund Mix,Brown,9,0,1
A740631,2020-01-21,2011-12-20,Spayed Female,96.0,A740631-2,2020-01-16,Vargas Road And Lawrence Street in Austin (TX),Stray,Normal,Dog,Spayed Female,96.0,Dachshund Mix,Brown,5,0,1
A740631,2021-06-11,2011-12-20,Spayed Female,108.0,A740631-3,2021-06-09,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,108.0,Dachshund Mix,Brown,2,0,1
A740680,2016-12-27,2015-12-21,Spayed Female,12.0,A740680-1,2016-12-21,8911 Trone Cir in Austin (TX),Stray,Normal,Dog,Intact Female,12.0,Cairn Terrier Mix,Tan,6,1,1
A740680,2017-11-10,2015-12-21,Spayed Female,12.0,A740680-2,2017-11-07,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,12.0,Cairn Terrier Mix,Tan,3,0,1
A740698,2017-04-24,2016-03-21,Intact Male,12.0,A740698-1,2017-02-03,14975 Swiss Dr in Austin (TX),Stray,Normal,Dog,Intact Male,10.0,Pit Bull Mix,Brown/White,80,0,1
A740698,2017-06-26,2016-03-21,Intact Male,12.0,A740698-2,2017-06-22,14975 Swiss Dr in Travis (TX),Public Assist,Normal,Dog,Intact Male,12.0,Pit Bull Mix,Brown/White,4,0,1
